,Currency,Timestamp,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),trade-volume_x,miners-revenue_x,cost-per-transaction_x,n-unique-addresses_x,difficulty_x,market-cap_x,n-transactions-total_x,total-bitcoins_x,transaction-fees_x,output-volume_x,utxo-count_x,estimated-transaction-volume_x,n-transactions_x,market-price_x,n-payments_x,my-wallet-n-users_x,n-transactions-excluding-popular_x,blocks-size_x,trade-volume_y,miners-revenue_y,cost-per-transaction_y,n-unique-addresses_y,difficulty_y,market-cap_y,n-transactions-total_y,total-bitcoins_y,transaction-fees_y,output-volume_y,utxo-count_y,estimated-transaction-volume_y,n-transactions_y,market-price_y,n-payments_y,my-wallet-n-users_y,n-transactions-excluding-popular_y,blocks-size_y,blocks-size
38,BTC,2013-11-08,294.48699,262.32666,294.48749,260.45166,14459640.0914,,,106680.0,510929738.01615196,,,,,1071531.00672899,,,,291.02,,,59223.0,,14459640.0914,,,106680.0,510929738.01615196,,,,,1071531.00672899,,,,291.02,,,59223.0,,
39,BTC,2013-11-09,331.10325,294.48699,343.67975,293.48749,,,,,,,,,,,,274724.49234822,,,,,,,,,,,,,,,,,,274724.49234822,,,,,,,
40,BTC,2013-11-10,285.8875,331.10325,355.2275,277.25275,,1508529.5793281998,25.298165006342398,,,,26767727.0,,45.83360662,,,,57538.0,,,,,12306.173533,,1508529.5793281998,25.298165006342398,,,,26767727.0,,45.83360662,,,,57538.0,,,,,12306.173533,12306.173533
41,BTC,2013-11-11,304.97974,285.8875,323.27249,260.70325,22181780.64,,,88300.0,510929738.01615196,,,,,748279.489553856,,,,328.0,,,57405.0,,22181780.64,,,88300.0,510929738.01615196,,,,,748279.489553856,,,,328.0,,,57405.0,,
42,BTC,2013-11-12,338.13699999999994,304.97974,339.795,303.6505,,,,,,,,,,,,246740.69432283,,,,553565.0,,,,,,,,,,,,,,246740.69432283,,,,553565.0,,,
43,BTC,2013-11-13,357.48,338.13699999999994,358.94999,336.30775,,1623511.20589776,23.527102076598602,,,,26941000.0,,23.04229153,,,,64870.0,,,,,12392.497965999999,,1623511.20589776,23.527102076598602,,,,26941000.0,,23.04229153,,,,64870.0,,,,,12392.497965999999,12392.497965999999
44,BTC,2013-11-14,402.954,357.48,409.51,350.20999,15231842.91,,,112531.0,510929738.01615196,,,,,1155028.59400238,,,,393.0,,,69413.0,,15231842.91,,,112531.0,510929738.01615196,,,,,1155028.59400238,,,,393.0,,,69413.0,,
45,BTC,2013-11-15,409.10375,402.954,415.93975,383.5775,,,,,,,,,,,,264911.78304871,,,,,,,,,,,,,,,,,,264911.78304871,,,,,,,
46,BTC,2013-11-16,420.21649,409.10375,427.90425,386.565,,2334241.72723504,46.0420870100407,,,,27136315.0,,14.265989800000002,,,,47175.0,,,,,12486.508854000002,,2334241.72723504,46.0420870100407,,,,27136315.0,,14.265989800000002,,,,47175.0,,,,,12486.508854000002,12486.508854000002
47,BTC,2013-11-17,437.29725,420.21649,437.9695,415.1975,7864793.2864,,,89325.0,609482679.888355,,,,,1158208.92269629,,,,437.24,,,51323.0,,7864793.2864,,,89325.0,609482679.888355,,,,,1158208.92269629,,,,437.24,,,51323.0,,
48,BTC,2013-11-18,510.6025,437.29725,512.16999,436.13324000000006,,,,,,,,,,,,368335.88987034,,,,,,,,,,,,,,,,,,368335.88987034,,,,,,,
49,BTC,2013-11-19,693.65,510.6025,781.82624,491.585,,2777584.29840206,29.241730956889402,,,,27314947.0,,31.59785609,,,,92907.0,,,,,12575.431461,,2777584.29840206,29.241730956889402,,,,27314947.0,,31.59785609,,,,92907.0,,,,,12575.431461,12575.431461
50,BTC,2013-11-20,531.54249,693.65,716.825,394.90623999999997,39187621.53,,,139562.0,609482679.888355,,,,,1690347.11982735,,,,547.0,,,77558.0,,39187621.53,,,139562.0,609482679.888355,,,,,1690347.11982735,,,,547.0,,,77558.0,,
51,BTC,2013-11-21,574.71599,531.54249,580.11375,428.9815,,,,,,,,,,,,284416.66939685,,,,,,,,,,,,,,,,,,284416.66939685,,,,,,,
52,BTC,2013-11-22,681.33,574.71599,705.49725,570.78025,,3350220.14912616,41.822337267198,,,,27556415.0,,23.29739671,,,,76947.0,,,,,12704.955304000001,,3350220.14912616,41.822337267198,,,,27556415.0,,23.29739671,,,,76947.0,,,,,12704.955304000001,12704.955304000001
53,BTC,2013-11-23,774.18,681.33,775.6525,651.89599,19979749.2,,,130687.0,609482679.888355,,,,,1533323.42331163,,,,795.0,,,72545.0,,19979749.2,,,130687.0,609482679.888355,,,,,1533323.42331163,,,,795.0,,,72545.0,,
54,BTC,2013-11-24,746.19374,774.18,823.41525,691.6925,,,,,,,,,,,,226552.91499702,,,,,,,,,,,,,,,,,,226552.91499702,,,,,,,
55,BTC,2013-11-25,768.8475,746.19374,787.2475,707.75149,,4237394.8306058,51.656018220011994,,,,27766172.0,,19.60120774,,,,71793.0,,,,,12810.142063,,4237394.8306058,51.656018220011994,,,,27766172.0,,19.60120774,,,,71793.0,,,,,12810.142063,12810.142063
56,BTC,2013-11-26,789.36475,768.8475,793.71424,739.8375,18763528.0752,,,153552.0,609482679.888355,,,,,4028498.09525615,,,,814.56,,,83383.0,,18763528.0752,,,153552.0,609482679.888355,,,,,4028498.09525615,,,,814.56,,,83383.0,,
57,BTC,2013-11-27,893.1815,789.36475,904.585,787.19,,,,,,,,,,,,350641.67013074,,,,,,,,,,,,,,,,,,350641.67013074,,,,,,,
58,BTC,2013-11-28,934.355,893.1815,965.2525,870.38525,,4735006.892497701,45.5920398676793,,,,28016959.0,,30.73997164,,,,98921.0,,,,,12928.90937,,4735006.892497701,45.5920398676793,,,,28016959.0,,30.73997164,,,,98921.0,,,,,12928.90937,12928.90937
59,BTC,2013-11-29,1068.363,934.355,1084.9466,912.931,37478428.353,,,162274.0,707408283.051497,,,,,2602929.47680348,,,,1014.1,,694872.0,90084.0,,37478428.353,,,162274.0,707408283.051497,,,,,2602929.47680348,,,,1014.1,,694872.0,90084.0,,
60,BTC,2013-11-30,1154.92593,1068.363,1157.49894,1028.22683,,,,,,,,,,,,200329.22413758,,,,,,,,,,,,,,,,,,200329.22413758,,,,,,,
61,BTC,2013-12-01,1099.51926,1154.92593,1156.02831,1099.2065,,8881509.00923624,82.930352293608,,,,28279868.0,,19.37686102,,,,73442.0,,,,,13051.861984000001,,8881509.00923624,82.930352293608,,,,28279868.0,,19.37686102,,,,73442.0,,,,,13051.861984000001,13051.861984000001
62,BTC,2013-12-02,1019.7896599999999,1099.51926,1099.70754,783.68616,58711378.9724,,,146063.0,707408283.051497,,,,,1424490.90497356,,,,955.01,,,75570.0,,58711378.9724,,,146063.0,707408283.051497,,,,,1424490.90497356,,,,955.01,,,75570.0,,
63,BTC,2013-12-03,1028.845,1019.7896599999999,1049.67916,929.9548300000001,,,,,,,,,,,,206792.74130511,,,,,,,,,,,,,,,,,,206792.74130511,,,,,,,
64,BTC,2013-12-04,1071.2848,1028.845,1092.83331,1021.177,,5249021.66920797,59.0853201243608,,,,28507087.0,,20.83224443,,,,79624.0,,,,,13163.325071,,5249021.66920797,59.0853201243608,,,,28507087.0,,20.83224443,,,,79624.0,,,,,13163.325071,13163.325071
65,BTC,2013-12-05,1139.33083,1071.2848,1151.29749,1066.87277,16426078.997000001,,,157285.0,707408283.051497,,,,,1550468.12636041,,,,1136.9,,,83283.0,,16426078.997000001,,,157285.0,707408283.051497,,,,,1550468.12636041,,,,1136.9,,,83283.0,,
66,BTC,2013-12-06,1004.6163300000001,1139.33083,1144.36916,870.3838,,,,,,,,,,,,274820.60103389,,,,,,,,,,,,,,,,,,274820.60103389,,,,,,,
67,BTC,2013-12-07,759.4304099999999,1004.6163300000001,1038.55,656.87499,,4611581.737448,60.9844316567,,,,28741955.0,,37.49123851,,,,67712.0,,,,,13278.692917,,4611581.737448,60.9844316567,,,,28741955.0,,37.49123851,,,,67712.0,,,,,13278.692917,13278.692917
68,BTC,2013-12-08,689.81,759.4304099999999,826.3276599999999,558.0833299999999,56810719.117,,,95435.0,707408283.051497,,,,,1219503.56891799,,,,705.91,,,47477.0,,56810719.117,,,95435.0,707408283.051497,,,,,1219503.56891799,,,,705.91,,,47477.0,,
69,BTC,2013-12-09,841.83966,689.81,845.85092,682.71342,,,,,,,,,,,,148591.35326738,,,,,,,,,,,,,,,,,,148591.35326738,,,,,,,
70,BTC,2013-12-10,916.7759900000001,841.83966,948.6818300000001,809.91748,,4710243.707226,66.0512074717579,,,,28920764.0,,17.50092456,,,,67623.0,,,,,13364.711639,,4710243.707226,66.0512074717579,,,,28920764.0,,17.50092456,,,,67623.0,,,,,13364.711639,13364.711639
71,BTC,2013-12-11,967.4286599999999,916.7759900000001,1004.93666,900.68016,22555749.3148,,,127804.0,908350862.4370221,,,,,1113758.03415721,,,,978.76,,,67305.0,,22555749.3148,,,127804.0,908350862.4370221,,,,,1113758.03415721,,,,978.76,,,67305.0,,
72,BTC,2013-12-12,866.2900300000001,967.4286599999999,975.6238300000001,832.22683,,,,,,,,,,,,112240.12961845,,,,,,,,,,,,,,,,,,112240.12961845,,,,,,,
73,BTC,2013-12-13,911.23204,866.2900300000001,919.30033,843.4055,,4409921.93220988,67.0649360090316,,,,29114019.0,,15.129439600000001,,,,60059.0,,,,,13461.794550999999,,4409921.93220988,67.0649360090316,,,,29114019.0,,15.129439600000001,,,,60059.0,,,,,13461.794550999999,13461.794550999999
74,BTC,2013-12-14,889.8194599999999,911.23204,933.17016,859.4499900000001,13072901.4,,,111422.0,908350862.4370221,,,,,620668.834120237,,,,885.0,,,54113.0,,13072901.4,,,111422.0,908350862.4370221,,,,,620668.834120237,,,,885.0,,,54113.0,,
75,BTC,2013-12-15,848.9975,889.8194599999999,897.30915,848.2558300000001,,,,,,,,,,,,104402.44204455,,,,,,,,,,,,,,,,,,104402.44204455,,,,,,,
76,BTC,2013-12-16,868.9531599999999,848.9975,886.2358300000001,819.43828,,9363103.16157005,82.7845940970986,,,,29280084.0,,15.70545173,,,,69382.0,,,869865.0,,13555.948772999998,,9363103.16157005,82.7845940970986,,,,29280084.0,,15.70545173,,,,69382.0,,,869865.0,,13555.948772999998,13555.948772999998
77,BTC,2013-12-17,653.80483,868.9531599999999,876.21516,636.1505599999999,40515364.8,,,133831.0,908350862.4370221,,,,,1586643.43811419,,,,690.0,,,67740.0,,40515364.8,,,133831.0,908350862.4370221,,,,,1586643.43811419,,,,690.0,,,67740.0,,
