Timestamp,market-cap
2020-12-26 11:15:32,460272426487.5
2020-12-26 13:32:24,462151798059.37506
2020-12-26 15:48:52,474306864281.25
2020-12-26 18:27:17,480292913953.125
2020-12-26 21:24:09,491881474900
2020-12-27 00:57:14,495981619821.875
2020-12-27 03:20:26,495064641225
2020-12-27 06:14:11,499870975484.37506
2020-12-27 08:32:40,515891797812.5
2020-12-27 11:28:01,525501864534.375
2020-12-27 14:06:09,511205606625
2020-12-27 16:28:37,505308540171.875
2020-12-27 20:02:33,502997877000
2020-12-27 22:42:27,490838273559.375
2020-12-28 00:53:21,500550677900
2020-12-28 03:38:51,502737050428.125
2020-12-28 06:05:10,500574984975
2020-12-28 08:45:31,500531388828.12494
2020-12-28 11:04:19,496092821006.25
2020-12-28 13:13:38,503510471409.375
2020-12-28 15:56:07,499759463000
2020-12-28 18:44:34,504538332834.375
2020-12-28 21:29:19,499895264343.75
2020-12-29 00:48:22,498541664012.5
2020-12-29 04:44:08,492774172625
2020-12-29 07:45:54,487712812481.25
2020-12-29 09:57:59,495093545621.875
2020-12-29 12:40:20,501954001325.00006
2020-12-29 14:48:55,496316488612.5
2020-12-29 18:32:07,495938342593.75
2020-12-29 20:26:13,498635954896.875
2020-12-29 22:58:47,501956187975
2020-12-30 01:15:30,514494560084.375
2020-12-30 02:54:37,518121574018.75
2020-12-30 05:28:11,520336162265.625
2020-12-30 07:10:47,527977654200
2020-12-30 09:01:52,515751714531.25006
2020-12-30 11:29:49,517836229921.875
2020-12-30 14:13:48,518127440187.5
2020-12-30 15:51:24,523585286831.25
2020-12-30 18:57:55,529015317228.125
2020-12-30 21:46:57,538329852325
2020-12-31 01:15:07,529932077578.125
2020-12-31 03:48:35,537415997187.49994
2020-12-31 05:32:26,539119703846.875
2020-12-31 08:09:59,542905092749.99994
2020-12-31 10:12:26,539469715781.25
2020-12-31 13:16:03,522940119056.25
2020-12-31 16:20:25,532877642812.50006
2020-12-31 19:03:08,536960469650
2020-12-31 21:23:25,540216230253.125
2020-12-31 23:10:58,541436761125.00006
2021-01-01 01:08:02,539748437481.25
2021-01-01 03:45:20,545216137625
2021-01-01 06:35:34,542431169568.74994
2021-01-01 09:42:35,544181479987.5
2021-01-01 12:04:07,546591664634.37494
2021-01-01 15:06:45,546641257949.99994
2021-01-01 17:24:19,546300511015.62506
2021-01-01 20:25:58,543162301893.75006
2021-01-01 23:49:04,545619188812.5
2021-01-02 03:24:40,547453223775
2021-01-02 05:24:02,548079053981.2501
2021-01-02 08:02:33,555257229603.125
2021-01-02 10:05:12,551989048246.875
2021-01-02 13:07:26,571091797237.5
2021-01-02 16:37:53,602082122312.5
2021-01-02 18:53:05,610822217500
2021-01-02 21:14:33,573462359062.5
2021-01-03 00:19:25,596720272587.5
2021-01-03 03:24:09,605897327059.375
2021-01-03 05:43:46,632650433175
2021-01-03 08:04:17,641513930035.5347
2021-01-03 11:15:55,634126217031.25
2021-01-03 14:09:05,631174131853.125
2021-01-03 16:22:04,626167875900
2021-01-03 18:07:38,612339069378.7408
2021-01-03 20:52:04,625013178281.25
2021-01-03 22:41:34,624254569021.875
2021-01-04 01:12:46,611273091800
2021-01-04 03:39:54,620627775968.75
2021-01-04 07:02:48,619599571187.5
