Timestamp,total-bitcoins
2020-07-23 18:36:16,18440356.25
2020-07-24 00:36:43,18440575
2020-07-24 06:33:35,18440793.75
2020-07-24 11:53:27,18441012.5
2020-07-24 17:51:27,18441231.25
2020-07-24 22:36:06,18441450
2020-07-25 03:03:43,18441668.75
2020-07-25 09:02:33,18441893.75
2020-07-25 14:15:20,18442112.5
2020-07-25 20:21:19,18442331.25
2020-07-26 02:20:29,18442550
2020-07-26 07:21:15,18442775
2020-07-26 13:13:15,18442993.75
2020-07-26 19:19:46,18443212.5
2020-07-26 23:46:17,18443431.25
2020-07-27 04:48:51,18443650
2020-07-27 11:01:18,18443868.75
2020-07-27 16:35:25,18444087.5
2020-07-27 21:59:59,18444312.5
2020-07-28 03:23:51,18444531.25
2020-07-28 09:40:58,18444750
2020-07-28 16:37:18,18444968.75
2020-07-28 21:38:24,18445187.5
2020-07-29 03:23:46,18445406.25
2020-07-29 07:29:44,18445625
2020-07-29 12:18:07,18445843.75
2020-07-29 19:09:16,18446062.5
2020-07-30 01:35:11,18446281.25
2020-07-30 06:55:37,18446500
2020-07-30 13:30:24,18446718.75
2020-07-30 20:20:59,18446937.5
2020-07-31 02:48:46,18447156.25
2020-07-31 08:10:47,18447375
2020-07-31 14:13:31,18447593.75
2020-07-31 18:35:56,18447812.5
2020-08-01 01:38:36,18448031.25
2020-08-01 06:51:55,18448250
2020-08-01 13:20:28,18448468.75
2020-08-01 20:44:30,18448687.5
2020-08-02 00:52:38,18448906.25
2020-08-02 07:51:56,18449125
2020-08-02 13:59:00,18449343.75
2020-08-02 19:50:59,18449562.5
2020-08-03 01:23:29,18449781.25
2020-08-03 07:46:55,18450000
2020-08-03 13:36:07,18450218.75
2020-08-03 17:04:13,18450437.5
2020-08-03 22:00:02,18450656.25
2020-08-04 03:03:31,18450875
2020-08-04 09:41:14,18451093.75
2020-08-04 15:15:33,18451312.5
2020-08-04 21:51:56,18451531.25
2020-08-05 03:12:02,18451750
2020-08-05 08:27:07,18451968.75
2020-08-05 16:01:19,18452187.5
2020-08-05 22:27:22,18452406.25
2020-08-06 04:33:49,18452625
2020-08-06 08:33:24,18452843.75
2020-08-06 15:19:25,18453062.5
2020-08-06 19:52:18,18453281.25
2020-08-07 01:36:27,18453500
2020-08-07 08:01:10,18453725
2020-08-07 12:58:35,18453943.75
2020-08-07 18:24:35,18454162.5
2020-08-07 23:49:56,18454381.25
2020-08-08 05:32:01,18454600
2020-08-08 11:33:26,18454818.75
2020-08-08 17:25:46,18455037.5
2020-08-08 23:11:00,18455256.25
2020-08-09 05:20:43,18455475
2020-08-09 12:07:22,18455693.75
2020-08-09 16:19:49,18455912.5
2020-08-09 21:05:59,18456131.25
2020-08-10 02:37:29,18456350
2020-08-10 09:56:12,18456568.75
2020-08-10 16:24:19,18456787.5
2020-08-10 22:12:04,18457006.25
2020-08-11 03:08:48,18457225
2020-08-11 08:15:24,18457443.75
2020-08-11 15:08:33,18457662.5
2020-08-11 19:19:12,18457881.25
2020-08-12 00:45:37,18458100
2020-08-12 06:01:38,18458318.75
2020-08-12 11:46:46,18458537.5
2020-08-12 18:15:08,18458756.25
2020-08-12 22:44:59,18458975
2020-08-13 03:13:08,18459193.75
2020-08-13 08:49:49,18459412.5
2020-08-13 15:04:43,18459631.25
2020-08-13 20:07:19,18459850
2020-08-14 01:51:16,18460068.75
2020-08-14 07:07:33,18460287.5
2020-08-14 12:37:22,18460506.25
2020-08-14 18:01:29,18460731.25
2020-08-14 22:32:09,18460950
2020-08-15 03:56:48,18461175
2020-08-15 09:44:08,18461393.75
2020-08-15 14:33:49,18461612.5
2020-08-15 20:06:00,18461831.25
2020-08-16 00:49:29,18462050
2020-08-16 07:21:53,18462268.75
2020-08-16 12:31:06,18462487.5
2020-08-16 17:20:58,18462712.5
2020-08-16 22:53:42,18462931.25
2020-08-17 07:20:37,18463150
2020-08-17 12:07:01,18463368.75
2020-08-17 17:48:45,18463587.5
2020-08-18 01:48:33,18463806.25
2020-08-18 08:04:46,18464025
