Timestamp,estimated-transaction-volume
2012-10-21 00:00:00,246508.86138957
2012-10-24 00:00:00,349701.59302098
2012-10-27 00:00:00,301211.70911238
2012-10-30 00:00:00,502985.57317562
2012-11-02 00:00:00,320450.10600075
2012-11-04 23:00:00,288224.28868822
2012-11-07 23:00:00,239678.96282248
2012-11-10 23:00:00,158364.24082143
2012-11-13 23:00:00,186030.89963659
2012-11-16 23:00:00,275646.15244115
2012-11-19 23:00:00,349030.28901447
2012-11-22 23:00:00,199335.46326773
2012-11-25 23:00:00,245190.803466
2012-11-28 23:00:00,263505.60648315
2012-12-01 23:00:00,191462.26258748
2012-12-04 23:00:00,340834.77140534
2012-12-07 23:00:00,203619.04892722
2012-12-10 23:00:00,365688.98968429
2012-12-13 23:00:00,305958.61799091
2012-12-16 23:00:00,249679.38538447
2012-12-19 23:00:00,206897.15508311
2012-12-22 23:00:00,155982.05532719
2012-12-25 23:00:00,222096.78241403
2012-12-28 23:00:00,212853.9798376
2012-12-31 23:00:00,231777.84953791
2013-01-03 23:00:00,310596.723466949
2013-01-06 23:00:00,207912.85574387
2013-01-09 23:00:00,286295.80209577
2013-01-12 23:00:00,213993.77915055
2013-01-15 23:00:00,312007.12187944
2013-01-18 23:00:00,200943.52795022
2013-01-21 23:00:00,394755.95827732
2013-01-24 23:00:00,413086.38358465
2013-01-27 23:00:00,425732.93944401
2013-01-30 23:00:00,554263.84494365
2013-02-02 23:00:00,275880.77419393
2013-02-05 23:00:00,372669.58469375
2013-02-08 23:00:00,250649.69439466
2013-02-11 23:00:00,358057.86108652
2013-02-14 23:00:00,315916.8889714
2013-02-17 23:00:00,284168.6058509
2013-02-20 23:00:00,287961.35874948
2013-02-23 23:00:00,331189.18148002
2013-02-26 23:00:00,287699.19385652
2013-03-01 23:00:00,265534.47189227
2013-03-04 23:00:00,327677.75066688
2013-03-07 23:00:00,253135.19268421
2013-03-11 00:00:00,234044.5685671
2013-03-14 00:00:00,273432.05665654
2013-03-17 00:00:00,163495.83244757
2013-03-20 00:00:00,312312.95274338
2013-03-23 00:00:00,245023.82782496
2013-03-26 00:00:00,275194.0705359
2013-03-29 00:00:00,311853.03344071
2013-04-01 00:00:00,306365.97431853
2013-04-04 00:00:00,297783.69392127
